736	71	dangerous	
737	71	enemies	
738	71	feeling	
739	71	five	
740	71	haste	
741	71	learned	
742	71	shone	
743	71	snow	
744	71	whom	
745	70	command	
746	70	errand	
747	70	faint	
748	70	listening	
749	70	past	
750	70	shadowfax	
751	70	speech	
752	70	terror	
753	70	thin	
754	70	trust	
755	69	leagues	
756	69	learn	
757	69	several	
758	69	shut	
759	69	travellers	
760	69	western	
761	69	whatever	
762	69	wondered	
763	68	faded	
764	68	father	
765	68	gloom	
766	68	huge	
767	68	ought	
768	68	roads	
769	68	seven	
770	68	slope	
771	68	watched	
772	68	wound	
773	68	yourself	
774	67	asleep	
775	67	blue	
776	67	died	
777	67	distance	
778	67	drawn	
779	67	fingers	
780	67	pony	
781	67	third	
782	66	appeared	
783	66	believe	
784	66	boats	
785	66	change	
786	66	muttered	
787	66	nay	
788	66	rate	
789	66	says	
790	66	send	
791	66	sit	
792	66	trying	
793	65	age	
794	65	business	
795	65	deadly	
796	65	eat	
797	65	greater	
798	65	reach	
799	65	second	
800	65	stepped	
801	65	swords	
802	65	table	
803	65	tonight	
804	65	towers	
805	64	ah	
806	64	bare	
807	64	brown	
808	64	creature	
809	64	early	
810	64	eastern	
811	64	fangorn	
812	64	ways	
813	63	changed	
814	63	crept	
815	63	drawing	
816	63	elvish	
817	63	hurt	
818	63	rolled	
819	63	shouted	
820	63	spoken	
821	63	staff	
822	63	steep	
823	63	step	
824	63	stony	
825	63	thick	
826	63	thinking	
827	63	wormtongue	
828	62	blade	
829	62	boat	
830	62	broad	
831	62	burning	
832	62	everything	
833	62	grow	
834	62	leaped	
835	62	lights	
836	62	purpose	
837	62	read	
838	62	speaking	
839	62	talking	
840	62	vast	
841	62	windows	
842	61	beginning	
843	61	birds	
844	61	burden	
845	61	chamber	
846	61	didn	
847	61	flame	
848	61	guests	
849	61	making	
850	61	star	
851	61	taking	
852	60	bitter	
853	60	climbing	
854	60	distant	
855	60	dreadful	
856	60	flowed	
857	60	hole	
858	60	hung	
859	60	itself	
860	60	lit	
861	60	northern	
862	60	roof	
863	60	slept	
864	60	slipped	
865	59	forget	
866	59	march	
867	59	morgul	
868	59	neck	
869	59	raised	
870	59	truth	
871	59	winding	
872	59	wished	
873	59	yellow	
874	58	burned	
875	58	elendil	
876	58	flat	
877	58	gathering	
878	58	gazed	
879	58	hot	
880	58	lords	
881	58	mine	
882	58	pity	
883	58	realm	
884	58	sighed	
885	58	thrust	
886	58	thus	
887	58	troubled	
888	58	waiting	
889	58	waters	
890	57	choose	
891	57	destroyed	
892	57	ended	
893	57	foul	
894	57	isn	
895	57	lived	
896	57	lot	
897	56	beautiful	
898	56	corner	
899	56	knees	
900	56	mail	
901	56	midst	
902	56	started	
903	55	choice	
904	55	cool	
905	55	council	
906	55	covered	
907	55	deeds	
908	55	despair	
909	55	dwelt	
910	55	easy	
911	55	hobbiton	
912	55	joy	
913	55	likely	
914	55	loud	
915	55	needed	
916	55	saying	
917	55	seek	
918	55	servants	
919	55	shoulder	
920	55	welcome	
921	54	alive	
922	54	bad	
923	54	built	
924	54	grown	
925	54	northward	
926	54	proud	
927	54	quietly	
928	54	slain	
929	54	vale	
930	53	blew	
931	53	bottom	
932	53	captains	
933	53	chair	
934	53	crossed	
935	53	guards	
936	53	hollow	
937	53	leading	
938	53	ruin	
939	53	shoulders	
940	53	sides	
941	53	songs	
942	53	sweet	
943	53	terrible	
944	53	tunnel	
945	52	aid	
946	52	blood	
947	52	busy	
948	52	circle	
949	52	citadel	
950	52	climb	
951	52	expected	
952	52	falls	
953	52	gaffer	
954	52	however	
955	52	lore	
956	52	nazgyl	
957	52	pain	
958	52	peregrin	
959	52	shore	
960	51	arrows	
961	51	awake	
962	51	axe	
963	51	branches	
964	51	crown	
965	51	die	
966	51	figure	
967	51	gently	
968	51	honour	
969	51	leaf	
970	51	queer	
971	51	roots	
972	51	shapes	
973	51	show	
974	51	sometimes	
975	51	trail	
976	51	warm	
977	50	body	
978	50	cross	
979	50	fight	
980	50	fool	
981	50	garden	
982	50	hungry	
983	50	rohirrim	
984	50	seeing	
985	50	storm	
